date,season,away_team,home_team,away_pts,home_pts,home_win,open_spread,close_spread,open_total,close_total,away_ml,home_ml,away_ml_prob,home_ml_prob,overround,home_fair_prob
2007-12-09,2008,Charlotte,Detroit,85,104,1,11.5,12.0,187.5,192.0,675,-925,0.129,0.9024,1.0314,0.8749
2007-12-09,2008,Seattle,NewOrleans,88,91,1,8.5,8.0,195.0,196.5,305,-365,0.2469,0.7849,1.0318,0.7607
2007-12-09,2008,NewJersey,Washington,89,104,1,3.5,3.0,195.5,194.5,130,-150,0.4348,0.6,1.0348,0.5798
2007-12-09,2008,GoldenState,LALakers,113,123,1,2.0,3.5,222.0,225.0,140,-160,0.4167,0.6154,1.0321,0.5963
2007-12-10,2008,Atlanta,Orlando,98,87,0,9.5,10.0,194.5,194.5,500,-625,0.1667,0.8621,1.0288,0.838
2007-12-10,2008,Houston,Philadelphia,88,100,1,182.0,181.5,7.0,6.0,-255,215,0.7183,0.3175,1.0358,0.3065
2007-12-10,2008,Dallas,NewYork,99,89,0,201.5,199.0,7.5,8.5,-425,355,0.8095,0.2198,1.0293,0.2135
2007-12-10,2008,Miami,Phoenix,117,113,0,10.5,12.5,214.5,216.5,900,-1400,0.1,0.9333,1.0333,0.9032
2007-12-10,2008,Milwaukee,Sacramento,93,96,1,3.5,5.5,197.0,198.5,210,-250,0.3226,0.7143,1.0369,0.6889
2007-12-11,2008,Indiana,Cleveland,105,118,1,5.0,2.0,200.5,197.0,115,-135,0.4651,0.5745,1.0396,0.5526
2007-12-11,2008,Minnesota,Washington,88,102,1,9.5,8.5,196.5,196.5,330,-400,0.2326,0.8,1.0326,0.7747
