date,season,home_team,away_team,home_pts,away_pts,home_win,home_win_prob,home_elo,away_elo,elo_diff,log_odds,is_upset_game,home_b2b,away_b2b,b2b_advantage,home_win_float,home_recent_wr,point_diff,month,season_odds,home_ml_prob,away_ml_prob,home_fair_prob,overround,open_spread,close_spread,open_total,close_total,prob_diff,elo_over_market,spread_implied_prob
2012-04-18,2012,NJN,NYK,95,104,0,0.35270813,1359.8076,1565.2815,-205.4739,-0.6071564194257476,1,0,1,1,0.0,0.4,-9,4,2012,0.2381,0.8,0.2294,1.0381,192.0,193.0,7.5,8.0,-0.1233,1,0.05
2012-04-18,2012,CHA,CHI,68,100,0,0.10184775,1180.6124,1658.7719,-478.1595,-2.1768605473565303,1,0,0,0,0.0,0.0,-32,4,2012,0.2062,0.8182,0.2013,1.0244,180.0,179.0,12.0,13.0,0.0995,0,0.05
2012-04-18,2012,DEN,LAC,98,104,0,0.59059095,1559.6436,1595.9918,-36.34819999999991,0.3664088648468009,0,0,0,0,0.0,0.7,-6,4,2012,0.6078,0.4255,0.5882,1.0333,2.5,3.0,202.0,201.5,-0.0024,1,0.2857
2012-04-18,2012,DAL,HOU,117,110,1,0.6981113,1553.495,1507.8639,45.63109999999983,0.8383201359257616,0,0,0,0,1.0,0.7,7,4,2012,0.6667,0.3704,0.6429,1.0371,5.0,4.5,192.0,191.5,-0.0552,1,0.1786
2012-04-18,2012,CLE,PHI,87,103,0,0.38340238,1305.5071,1488.0459,-182.53880000000004,-0.4751316189813169,1,1,1,0,0.0,0.2,-16,4,2012,0.2083,0.8276,0.2011,1.0359,184.5,185.0,7.5,9.0,-0.1823,1,0.05
2012-04-18,2012,BOS,ORL,102,98,1,0.75021774,1608.5552,1517.5049,91.0503000000001,1.0997739020359596,0,1,0,-1,1.0,0.9,4,4,2012,0.6667,0.3704,0.6429,1.0371,4.5,4.5,179.0,178.0,-0.1073,1,0.1786
2012-04-18,2012,ATL,DET,116,84,1,0.8018595,1549.8102,1406.9602,142.8499999999999,1.397957025430176,0,0,1,1,1.0,0.7,32,4,2012,0.8387,0.1961,0.8105,1.0348,10.0,9.5,189.0,190.5,0.0086,0,0.05
2012-04-18,2012,GSW,LAL,87,99,0,0.37023881,1405.5497,1597.8273,-192.2775999999999,-0.5311924557499197,1,0,1,1,0.0,0.2,-12,4,2012,0.2817,0.7561,0.2714,1.0378,205.0,203.5,6.5,7.0,-0.0988,1,0.05
2012-04-19,2012,PHO,LAC,93,90,1,0.58131927,1562.6283,1605.6156,-42.987300000000005,0.3281914730457713,0,1,1,0,1.0,0.7,3,4,2012,0.5652,0.4762,0.5427,1.0414,2.0,2.0,198.5,197.0,-0.0386,1,0.3571
2012-04-19,2012,MIA,CHI,83,72,1,0.64318424,1664.7125,1662.356,2.3565000000000964,0.5892116421404784,0,1,1,0,1.0,0.8,11,4,2012,0.7368,0.2941,0.7147,1.0309,5.0,6.5,183.0,183.5,0.0715,0,0.05
2012-04-19,2012,DET,MIN,80,91,0,0.65275097,1399.3553,1389.7128,9.642499999999927,0.6311535024650166,0,1,0,-1,0.0,0.7,-11,4,2012,0.6774,0.3636,0.6507,1.041,5.5,5.0,196.0,197.5,-0.0021,1,0.1429
2012-04-19,2012,IND,MIL,118,109,1,0.73384869,1588.4786,1512.2875,76.1911,1.0142378775493062,0,0,1,1,1.0,0.8,9,4,2012,0.7059,0.3333,0.6793,1.0392,5.0,6.0,205.0,207.0,-0.0545,1,0.0714
2012-04-20,2012,ATL,BOS,97,92,1,0.56598383,1557.415,1611.2958,-53.880800000000136,0.265483715115572,0,0,0,0,1.0,0.7,5,4,2012,0.8667,0.1739,0.8329,1.0406,6.5,10.5,180.0,180.0,0.2669,0,0.05
2012-04-20,2012,CHA,MEM,80,85,0,0.13170849,1177.0283,1604.649,-427.6207,-1.8859364290799323,1,0,0,0,0.0,0.0,-5,4,2012,0.0714,0.9565,0.0695,1.0279,182.0,182.5,12.0,14.0,-0.0622,1,0.05
